City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Boyolangu,ID,2022-06-28 22:29:23,-8.1181,111.8935,72.64,80,92,4.7
93,Alyangula,AU,2022-06-28 22:29:25,-13.8483,136.4192,74.61,62,99,19.51
94,Pismo Beach,US,2022-06-28 22:29:25,35.1428,-120.6413,105.46,44,0,5.75
95,Saskylakh,RU,2022-06-28 22:29:26,71.9167,114.0833,52.16,46,4,12.5
96,Lasa,IT,2022-06-28 22:29:26,46.6166,10.7002,61.68,87,75,3.18
97,Maues,BR,2022-06-28 22:29:27,-3.3836,-57.7186,79.45,67,35,0.85
98,Basco,PH,2022-06-28 22:29:27,20.4487,121.9702,84.13,74,100,24.16
99,Sabang,ID,2022-06-28 22:29:28,5.8933,95.3214,83.21,71,100,23.78
100,Pevek,RU,2022-06-28 22:29:28,69.7008,170.3133,37.35,99,100,2.93
101,Coihaique,CL,2022-06-28 22:29:29,-45.5752,-72.0662,40.95,93,100,5.75
102,Khandbari,NP,2022-06-28 22:29:29,27.3747,87.2039,71.56,98,100,1.45
103,Bambous Virieux,MU,2022-06-28 22:29:29,-20.3428,57.7575,66.45,88,75,14.97
104,Kieta,PG,2022-06-28 22:29:30,-6.2167,155.6333,81.72,76,90,6.51
105,Buchanan,LR,2022-06-28 22:29:30,5.8808,-10.0467,77.68,87,96,2.66
106,Port Macquarie,AU,2022-06-28 22:29:31,-31.4333,152.9167,51.89,68,96,4.61
107,Kavaratti,IN,2022-06-28 22:29:31,10.5669,72.642,82.13,79,100,20.36
108,Grindavik,IS,2022-06-28 22:29:32,63.8424,-22.4338,55.87,71,75,13.8
109,Georgetown,MY,2022-06-28 22:24:42,5.4112,100.3354,81.9,89,20,3.44
110,Maragheh,IR,2022-06-28 22:29:33,37.3917,46.2398,67.06,24,0,2.28
111,Cape Town,ZA,2022-06-28 22:27:03,-33.9258,18.4232,63.37,52,0,6.91
112,Traian,RO,2022-06-28 22:29:33,46.6333,27.0333,69.67,60,0,2.3
113,Dillon,US,2022-06-28 22:29:34,34.4166,-79.3712,88.14,59,100,12.55
114,San Rafael,AR,2022-06-28 22:25:29,-34.6177,-68.3301,57.63,17,55,11.3
